pcc	spc	cos	kdt	SA
0.9884023	0.9212150147185146	0.9911066	0.7765441553371661	0.9150329
0.6631009	0.7249110593231792	0.730704	0.5800509429861281	0.5216161
0.58400285	0.7709895218183707	0.724993	0.6155107389498259	0.516314
0.99203074	0.9509327400418457	0.99389285	0.8295089549745552	0.92960596
0.7240207	0.44566121311268264	0.7778112	0.3945286620143457	0.5673401
0.84264964	0.5643251497272236	0.8755609	0.45891430575435355	0.6790159
0.76397985	0.5868538316324484	0.8220428	0.4816195718172299	0.6143313
0.9276124	0.9411057817402213	0.95310676	0.8130091326654387	0.8042679
0.9002214	0.9204089283159518	0.9348611	0.7857322209261433	0.7689524
0.9625467	0.8793805533492841	0.97354376	0.7312888940413033	0.8532354
0.97557485	0.8619871969827136	0.9769699	0.7381325527005056	0.8631074
0.9940034	0.94293058606125	0.9940636	0.8116456506162328	0.93059814
0.91930723	0.848948116548714	0.9310932	0.6811706492173276	0.7622875
0.8931158	0.9275868304479008	0.93950766	0.7819586363612281	0.77743375
0.8576973	0.7856331705302789	0.908947	0.698357650699188	0.7262249
0.9406947	0.8772870703650647	0.9551882	0.7305543964229029	0.8086949
0.9497504	0.8774318312285508	0.9622335	0.709185143710616	0.82448065
0.8463136	0.9191831298679211	0.8960742	0.7760191784029848	0.707186
0.9628398	0.8890020738625412	0.9745288	0.7480317904685332	0.85600543
0.92171997	0.9428330336786402	0.956551	0.8073850966073349	0.8116481
0.9778772	0.9255103651503138	0.98112214	0.7875070778871092	0.87610406
0.9707793	0.9096673226425116	0.977134	0.7591311147072154	0.8635978
0.9616573	0.8855260220887388	0.9701242	0.7460665745525086	0.84399366
0.9738945	0.8483929060601456	0.9801969	0.6926789743934108	0.8730943
0.91270775	0.7692314963091578	0.9304746	0.6460990676901586	0.76121014
0.936474	0.9143397815336376	0.957034	0.7945853344094242	0.8127055
0.69757813	0.766994779060148	0.76156765	0.6234121285600235	0.55113995
0.9839798	0.8608436531198913	0.9831426	0.7209282634573408	0.8829417
0.97440684	0.9494035624443001	0.9819017	0.8303526662314561	0.8786971
0.9785252	0.9213963601874792	0.9823815	0.7755686578557028	0.8803207
0.9585098	0.8686310967724808	0.9703684	0.7131382661928903	0.8446358
0.9752593	0.9138489289744816	0.9808609	0.7842475419383135	0.875247
0.94239765	0.9393596867389302	0.9602238	0.7936786359935416	0.8198406
0.81605333	0.7845616484010945	0.85917187	0.6049804617700734	0.6580414
0.99167055	0.887173009079026	0.99152184	0.7606246638794716	0.917043
0.9094049	0.9148726056091943	0.9420144	0.763776188055997	0.78214055
0.9056714	0.8454090039153163	0.9184117	0.6896999104977029	0.74105525
0.84553874	0.6937599814702998	0.8824781	0.5627927786495813	0.68825287
0.9484674	0.8716718620934362	0.9599351	0.7304619677644927	0.81918365
0.99535453	0.8425676668460467	0.9958892	0.7029184753463746	0.94225585
0.95899326	0.9215267407622745	0.96856487	0.7732435331660353	0.8399532
0.9661374	0.9106687139053382	0.97195524	0.7681440643093427	0.8488733
0.6562706	0.47621860763436435	0.7267744	0.41643779472248044	0.5179629
0.8854312	0.762467376410665	0.9162338	0.6017413461174483	0.7375728
0.7138771	0.8325952526676988	0.7898434	0.6870876041532284	0.57967645
0.99258655	0.9342224485411942	0.9937824	0.8135345007056454	0.92897165
0.98269117	0.9644256746523789	0.98807913	0.8702158978601874	0.9016031
0.9802283	0.7313214216145053	0.9831434	0.578036387654804	0.8829444
0.34730202	0.38008282970767504	0.47097254	0.30843841593514093	0.3121938
0.75149655	0.42558922008042627	0.8013426	0.33553038506114247	0.5917612
0.9415288	0.820616284604484	0.9537428	0.6635642744854399	0.8056103
0.9574131	0.9183924539382218	0.9683223	0.7744583705736505	0.83933353
0.9541726	0.8997181362828135	0.96546674	0.7460254092221483	0.8322078
0.91391456	0.8016495181048606	0.93762785	0.6462123340155764	0.77396584
0.8929476	0.8174599491489086	0.9069906	0.6741984751679182	0.72325253
0.97166675	0.8779163280497129	0.97958297	0.7337534126763463	0.87113553
0.9366429	0.8887100790937765	0.9536176	0.7371757353632917	0.8053453
0.94736946	0.8600656838827276	0.95971894	0.7369840049445405	0.81869316
0.8743186	0.6663384595452314	0.89893687	0.5316342346707232	0.7113186
0.9389264	0.668857099219287	0.94609183	0.5541514461459461	0.7900127
0.9426351	0.873033240417996	0.9563617	0.7178841537565799	0.8112352
0.78168964	0.7246907138914807	0.82576215	0.5821696533118973	0.6185093
0.9615626	0.9145324735262481	0.97338265	0.808959363358792	0.8527872
0.988959	0.9575868272431668	0.9918066	0.8501310032710975	0.9184501
0.91254634	0.8912159445596175	0.9322691	0.7402764769445749	0.76434815
0.9600731	0.8600397931751388	0.9681816	0.6812912425585553	0.8389753
0.7658394	0.46238792574696413	0.79411274	0.38638982214587303	0.58412814
0.9663168	0.9167428753335617	0.9727938	0.7849237488008891	0.8511604
0.94157445	0.819452165235064	0.95253754	0.6589801004608516	0.803074
0.991306	0.8787168732201316	0.99253696	0.739302296028999	0.9221742
0.9822666	0.8049110765369685	0.9849166	0.6751399510385769	0.8892888
0.82767093	0.5489783932750847	0.8481098	0.4557248459338734	0.64451855
0.7169163	0.35898842265141223	0.7867191	0.32080663972768814	0.5764439
